,Model,Brand,Price_in_Pounds,Acceleration 0 - 100 km/h,Top Speed,Electric Range *,Total Power *,Total Torque *,Drive,Nominal Capacity,Battery Type,Number of Cells,Architecture,Useable Capacity*,Cathode Material,Pack Configuration,Nominal Voltage,Range *,Vehicle Consumption *,CO2 Emissions,Vehicle Fuel Equivalent *,Range,Rated Consumption,Vehicle Consumption,Rated Fuel Equivalent,Vehicle Fuel Equivalent,City - Cold Weather *,Highway - Cold Weather *,Combined - Cold Weather *,City - Mild Weather *,Highway - Mild Weather *,Combined - Mild Weather *,"Nominal Capacity							*",Electric Range,Total Power,Total Torque,City - Cold Weather,Highway - Cold Weather,Combined - Cold Weather,City - Mild Weather,Highway - Mild Weather,Combined - Mild Weather,Useable Capacity,Rated Consumption *,Rated Fuel Equivalent *,Acceleration 0 - 100 km/h *,Top Speed *
13,Porsche Taycan Turbo Cross Turismo,Porsche,"120,900",3.3 sec,250 km/h,395 km,,,AWD,93.4 kWh,Lithium-ion,396,800 V,,NCM712,198s2p,725 V,395 km,212 Wh/km,0 g/km,2.4 l/100km,395 km,259 Wh/km,212 Wh/km,2.9 l/100km,2.4 l/100km,217 Wh/km,294 Wh/km,250 Wh/km,151 Wh/km,229 Wh/km,188 Wh/km,,,500 kW (680 PS),850 Nm,,,,,,,83.7 kWh,,,,
14,Porsche Taycan Turbo Sport Turismo,Porsche,"120,900",3.2 sec,260 km/h,405 km,,,AWD,93.4 kWh,Lithium-ion,396,800 V,,NCM712,198s2p,725 V,405 km,207 Wh/km,0 g/km,2.3 l/100km,424 km,242 Wh/km,197 Wh/km,2.7 l/100km,2.2 l/100km,212 Wh/km,284 Wh/km,243 Wh/km,148 Wh/km,223 Wh/km,182 Wh/km,,,500 kW (680 PS),850 Nm,,,,,,,83.7 kWh,,,,
15,Citroen e-Jumpy Combi M 50 kWh,Citroen,"35,795",12.1 sec,130 km/h,185 km,,,Front,50.0 kWh,Lithium-ion,216,400 V,,No Data,108s2p,400 V,185 km,250 Wh/km,0 g/km,2.8 l/100km,221 km,251 Wh/km,210 Wh/km,2.8 l/100km,2.4 l/100km,232 Wh/km,356 Wh/km,289 Wh/km,168 Wh/km,289 Wh/km,226 Wh/km,,,100 kW (136 PS),260 Nm,,,,,,,46.3 kWh,,,,
16,Toyota PROACE Shuttle L 75 kWh,Toyota,,13.1 sec,130 km/h,260 km,,,Front,,Lithium-ion,324,400 V,68.0 kWh,No Data,108s3p,400 V,260 km,262 Wh/km,0 g/km,2.9 l/100km,330 km,245 Wh/km,206 Wh/km,2.8 l/100km,2.3 l/100km,243 Wh/km,368 Wh/km,302 Wh/km,174 Wh/km,302 Wh/km,234 Wh/km,75.0 kWh,,100 kW (136 PS),260 Nm,,,,,,,,,,,
17,Opel Vivaro-e Combi L 50 kWh,Opel,"37,520",12.1 sec,130 km/h,180 km,,,Front,50.0 kWh,Lithium-ion,216,400 V,,No Data,108s2p,400 V,180 km,257 Wh/km,0 g/km,2.9 l/100km,230 km,No Data,201 Wh/km,No Data,2.3 l/100km,237 Wh/km,370 Wh/km,289 Wh/km,168 Wh/km,299 Wh/km,226 Wh/km,,,100 kW (136 PS),260 Nm,,,,,,,46.3 kWh,,,,
18,Opel Vivaro-e Combi M 50 kWh,Opel,"37,320",12.1 sec,130 km/h,185 km,,,Front,50.0 kWh,Lithium-ion,216,400 V,,No Data,108s2p,400 V,185 km,250 Wh/km,0 g/km,2.8 l/100km,230 km,No Data,201 Wh/km,No Data,2.3 l/100km,232 Wh/km,356 Wh/km,289 Wh/km,168 Wh/km,289 Wh/km,226 Wh/km,,,100 kW (136 PS),260 Nm,,,,,,,46.3 kWh,,,,
19,Opel Zafira-e Life M 75 kWh,Opel,,13.3 sec,130 km/h,265 km,,,Front,,Lithium-ion,324,400 V,68.0 kWh,No Data,108s3p,400 V,265 km,257 Wh/km,0 g/km,2.9 l/100km,330 km,No Data,206 Wh/km,No Data,2.3 l/100km,239 Wh/km,368 Wh/km,296 Wh/km,172 Wh/km,296 Wh/km,231 Wh/km,75.0 kWh,,100 kW (136 PS),260 Nm,,,,,,,,,,,
20,Citroen e-Jumpy Combi XL 75 kWh,Citroen,,13.3 sec,130 km/h,260 km,,,Front,,Lithium-ion,324,400 V,68.0 kWh,No Data,108s3p,400 V,260 km,262 Wh/km,0 g/km,2.9 l/100km,315 km,268 Wh/km,216 Wh/km,3.0 l/100km,2.4 l/100km,243 Wh/km,368 Wh/km,302 Wh/km,174 Wh/km,302 Wh/km,234 Wh/km,75.0 kWh,,100 kW (136 PS),260 Nm,,,,,,,,,,,
21,Toyota PROACE Shuttle L 50 kWh,Toyota,,12.1 sec,130 km/h,180 km,,,Front,50.0 kWh,Lithium-ion,216,400 V,,No Data,108s2p,400 V,180 km,257 Wh/km,0 g/km,2.9 l/100km,230 km,236 Wh/km,201 Wh/km,2.7 l/100km,2.3 l/100km,237 Wh/km,370 Wh/km,289 Wh/km,168 Wh/km,299 Wh/km,226 Wh/km,,,100 kW (136 PS),260 Nm,,,,,,,46.3 kWh,,,,
22,Peugeot e-Traveller Standard 75 kWh,Peugeot,,14.3 sec,130 km/h,265 km,,,Front,,Lithium-ion,324,400 V,68.0 kWh,No Data,108s3p,400 V,265 km,257 Wh/km,0 g/km,2.9 l/100km,304 km,278 Wh/km,224 Wh/km,3.1 l/100km,2.5 l/100km,239 Wh/km,368 Wh/km,296 Wh/km,172 Wh/km,296 Wh/km,231 Wh/km,75.0 kWh,,100 kW (136 PS),260 Nm,,,,,,,,,,,
23,Fiat E-Ulysse L2 75 kWh,Fiat,,13.3 sec,130 km/h,265 km,,,Front,,Lithium-ion,324,400 V,68.0 kWh,No Data,108s3p,400 V,265 km,257 Wh/km,0 g/km,2.9 l/100km,330 km,257 Wh/km,206 Wh/km,2.9 l/100km,2.3 l/100km,239 Wh/km,368 Wh/km,296 Wh/km,172 Wh/km,296 Wh/km,231 Wh/km,75.0 kWh,,100 kW (136 PS),260 Nm,,,,,,,,,,,
24,Opel Vivaro-e Combi L 75 kWh,Opel,,13.3 sec,130 km/h,260 km,,,Front,,Lithium-ion,324,400 V,68.0 kWh,No Data,108s3p,400 V,260 km,262 Wh/km,0 g/km,2.9 l/100km,330 km,No Data,206 Wh/km,No Data,2.3 l/100km,243 Wh/km,368 Wh/km,302 Wh/km,174 Wh/km,302 Wh/km,234 Wh/km,75.0 kWh,,100 kW (136 PS),260 Nm,,,,,,,,,,,
25,Mercedes eVito Tourer Extra-Long 60 kWh,Mercedes,,,160 km/h,205 km,,,Front,66.0 kWh,Lithium-ion,192,400 V,,No Data,96s2p,352 V,205 km,293 Wh/km,0 g/km,3.3 l/100km,217 km,No Data,276 Wh/km,No Data,3.1 l/100km,267 Wh/km,414 Wh/km,333 Wh/km,197 Wh/km,333 Wh/km,261 Wh/km,,,150 kW (204 PS),366 Nm,,,,,,,60.0 kWh,,,12.0 sec,
26,Citroen e-Jumpy Combi XL 50 kWh,Citroen,"35,995",12.1 sec,130 km/h,180 km,,,Front,50.0 kWh,Lithium-ion,216,400 V,,No Data,108s2p,400 V,180 km,257 Wh/km,0 g/km,2.9 l/100km,220 km,252 Wh/km,210 Wh/km,2.8 l/100km,2.4 l/100km,237 Wh/km,370 Wh/km,289 Wh/km,168 Wh/km,299 Wh/km,226 Wh/km,,,100 kW (136 PS),260 Nm,,,,,,,46.3 kWh,,,,
27,Citroen e-SpaceTourer XL 75 kWh,Citroen,,13.3 sec,130 km/h,260 km,,,Front,,Lithium-ion,324,400 V,68.0 kWh,No Data,108s3p,400 V,260 km,262 Wh/km,0 g/km,2.9 l/100km,330 km,295 Wh/km,206 Wh/km,3.3 l/100km,2.3 l/100km,243 Wh/km,368 Wh/km,302 Wh/km,174 Wh/km,302 Wh/km,234 Wh/km,75.0 kWh,,100 kW (136 PS),260 Nm,,,,,,,,,,,
28,Citroen e-SpaceTourer XL 50 kWh,Citroen,"48,335",12.1 sec,130 km/h,180 km,,,Front,50.0 kWh,Lithium-ion,216,400 V,,No Data,108s2p,400 V,180 km,257 Wh/km,0 g/km,2.9 l/100km,220 km,254 Wh/km,210 Wh/km,2.9 l/100km,2.4 l/100km,237 Wh/km,370 Wh/km,289 Wh/km,168 Wh/km,299 Wh/km,226 Wh/km,,,100 kW (136 PS),260 Nm,,,,,,,46.3 kWh,,,,
29,Fiat E-Ulysse L3 50 kWh,Fiat,,12.1 sec,130 km/h,180 km,,,Front,50.0 kWh,Lithium-ion,216,400 V,,No Data,108s2p,400 V,180 km,257 Wh/km,0 g/km,2.9 l/100km,230 km,No Data,201 Wh/km,No Data,2.3 l/100km,237 Wh/km,370 Wh/km,289 Wh/km,168 Wh/km,299 Wh/km,226 Wh/km,,,100 kW (136 PS),260 Nm,,,,,,,46.3 kWh,,,,
30,Toyota PROACE Shuttle M 75 kWh,Toyota,,13.1 sec,130 km/h,265 km,,,Front,,Lithium-ion,324,400 V,68.0 kWh,No Data,108s3p,400 V,265 km,257 Wh/km,0 g/km,2.9 l/100km,330 km,244 Wh/km,206 Wh/km,2.7 l/100km,2.3 l/100km,239 Wh/km,368 Wh/km,296 Wh/km,172 Wh/km,296 Wh/km,231 Wh/km,75.0 kWh,,100 kW (136 PS),260 Nm,,,,,,,,,,,
31,Fiat E-Ulysse L2 50 kWh,Fiat,,12.1 sec,130 km/h,185 km,,,Front,50.0 kWh,Lithium-ion,216,400 V,,No Data,108s2p,400 V,185 km,250 Wh/km,0 g/km,2.8 l/100km,230 km,No Data,201 Wh/km,No Data,2.3 l/100km,232 Wh/km,356 Wh/km,289 Wh/km,168 Wh/km,289 Wh/km,226 Wh/km,,,100 kW (136 PS),260 Nm,,,,,,,46.3 kWh,,,,
32,Mercedes EQV 250 Extra-Long,Mercedes,,,160 km/h,,,,Front,66.0 kWh,Lithium-ion,192,400 V,,No Data,96s2p,352 V,,,0 g/km,,213 km,No Data,282 Wh/km,No Data,3.2 l/100km,,,,,,,,210 km,150 kW (204 PS),362 Nm,267 Wh/km,400 Wh/km,333 Wh/km,197 Wh/km,333 Wh/km,261 Wh/km,60.0 kWh,,,12.0 sec,
33,Peugeot e-Traveller Long 50 kWh,Peugeot,"54,275",13.1 sec,130 km/h,185 km,,,Front,50.0 kWh,Lithium-ion,216,400 V,,No Data,108s2p,400 V,185 km,250 Wh/km,0 g/km,2.8 l/100km,210 km,265 Wh/km,220 Wh/km,3.0 l/100km,2.5 l/100km,232 Wh/km,356 Wh/km,289 Wh/km,168 Wh/km,289 Wh/km,226 Wh/km,,,100 kW (136 PS),260 Nm,,,,,,,46.3 kWh,,,,
34,Peugeot e-Expert Combi Long 50 kWh,Peugeot,,13.1 sec,130 km/h,185 km,,,Front,50.0 kWh,Lithium-ion,216,400 V,,No Data,108s2p,400 V,185 km,250 Wh/km,0 g/km,2.8 l/100km,219 km,256 Wh/km,211 Wh/km,2.9 l/100km,2.4 l/100km,232 Wh/km,356 Wh/km,289 Wh/km,168 Wh/km,289 Wh/km,226 Wh/km,,,100 kW (136 PS),260 Nm,,,,,,,46.3 kWh,,,,
